id,title,price,currency,location,date,url,image
49941044,Гостиница России-Сдается шикарный частный дом в центре города!,42457800,UZS,"Ташкент, Яккасарайский район",Сегодня в 09:39,https://www.olx.uz/d/obyavlenie/gostinitsa-rossii-sdaetsya-shikarnyy-chastnyy-dom-v-tsentre-goroda-ID3nxVI.html,/app/static/media/no_thumbnail.15f456ec5.svg
63688337,"Квартира Юнусабадский район, Ботанический сад 1/3/4, 23000у.е.",279008400,UZS,"Ташкент, Юнусабадский район",Сегодня в 09:38,https://www.olx.uz/d/obyavlenie/kvartira-yunusabadskiy-rayon-botanicheskiy-sad-1-3-4-23000u-e-ID4jeff.html,/app/static/media/no_thumbnail.15f456ec5.svg
63688335,"Срочно продаётся Евро нежилое помещение Ц-1, Street 77",2547468000,UZS,"Ташкент, Мирзо-Улугбекский район",Сегодня в 09:38,https://www.olx.uz/d/obyavlenie/srochno-prodaetsya-evro-nezhiloe-pomeschenie-ts-1-street-77-ID4jefd.html,/app/static/media/no_thumbnail.15f456ec5.svg
63787061,"Алмазарский: Жк ""Корасарой"" 3/9/11/ 65кв.м евро ремонт мебель и техник",1322257200,UZS,"Ташкент, Алмазарский район",Сегодня в 09:38,https://www.olx.uz/d/obyavlenie/almazarskiy-zhk-korasaroy-3-9-11-65kv-m-evro-remont-mebel-i-tehnik-ID4jDWz.html,/app/static/media/no_thumbnail.15f456ec5.svg
63165185,"Янги тошми постдан 3,5км олтин тепа",1176687600,UZS,"Ташкент, Учтепинский район",Сегодня в 09:38,https://www.olx.uz/d/obyavlenie/yangi-toshmi-postdan-3-5km-oltin-tepa-ID4h29j.html,/app/static/media/no_thumbnail.15f456ec5.svg
47896282,"Продается участок Юнусабад 7,5 соток",4852320000,UZS,"Ташкент, Юнусабадский район",Сегодня в 09:38,https://www.olx.uz/d/obyavlenie/prodaetsya-uchastok-yunusabad-7-5-sotok-ID3eY0G.html,/app/static/media/no_thumbnail.15f456ec5.svg
54325238,Ташкент Сити ЖК Гарденс! Сдаётся 2х комнатная!,10917720,UZS,"Ташкент, Шайхантахурский район",Сегодня в 09:38,https://www.olx.uz/d/obyavlenie/tashkent-siti-zhk-gardens-sdaetsya-2h-komnatnaya-ID3FVtv.html,/app/static/media/no_thumbnail.15f456ec5.svg
63465274,arenda uzoq muddatga,52162440,UZS,"Ташкент, Юнусабадский район",06 марта 2026 г.,https://www.olx.uz/d/obyavlenie/arenda-uzoq-muddatga-ID4iids.html,/app/static/media/no_thumbnail.15f456ec5.svg
59231488,Hotel mehmоnxona kvartira xostel kunlik ijara,200000,UZS,"Ташкент, Юнусабадский район",Сегодня в 08:05,https://www.olx.uz/d/obyavlenie/hotel-mehmonxona-kvartira-xostel-kunlik-ijara-ID40vOA.html,/app/static/media/no_thumbnail.15f456ec5.svg
63640237,Сдается в аренду 18м2 офис на Ганга метро Гафур Гулям,2426160,UZS,"Ташкент, Шайхантахурский район",07 марта 2026 г.,https://www.olx.uz/d/obyavlenie/sdaetsya-v-arendu-18m2-ofis-na-ganga-metro-gafur-gulyam-ID4j1Jr.html,/app/static/media/no_thumbnail.15f456ec5.svg
52131112,Дом 14 соток сотилади,1516350000,UZS,Янгибазар,Сегодня в 09:38,https://www.olx.uz/d/obyavlenie/dom-14-sotok-sotiladi-ID3vJGo.html,/app/static/media/no_thumbnail.15f456ec5.svg
58320595,Посуточная аренда квартиры,800000,UZS,Фергана,Сегодня в 09:38,https://www.olx.uz/d/obyavlenie/posutochnaya-arenda-kvartiry-ID3VHQL.html,/app/static/media/no_thumbnail.15f456ec5.svg
50296226,Квартира в новостройке,849156000,UZS,"Ташкент, Мирзо-Улугбекский район",Сегодня в 09:38,https://www.olx.uz/d/obyavlenie/kvartira-v-novostroyke-ID3p2ls.html,/app/static/media/no_thumbnail.15f456ec5.svg
63404992,"Аренда 1 хонали уй ттз , эко бозор",4245780,UZS,"Ташкент, Мирзо-Улугбекский район",Сегодня в 09:38,https://www.olx.uz/d/obyavlenie/arenda-1-honali-uy-ttz-eko-bozor-ID4i2xa.html,/app/static/media/no_thumbnail.15f456ec5.svg
63404904,"Аренда 2 хонали уй ТТЗ , Экобозор",5458860,UZS,"Ташкент, Мирзо-Улугбекский район",Сегодня в 09:38,https://www.olx.uz/d/obyavlenie/arenda-2-honali-uy-ttz-ekobozor-ID4i2wK.html,/app/static/media/no_thumbnail.15f456ec5.svg
60983353,Аренда 2/4/4 Коракамиш 1/4,5458860,UZS,"Ташкент, Алмазарский район",Сегодня в 09:38,https://www.olx.uz/d/obyavlenie/arenda-2-4-4-korakamish-1-4-ID47Syt.html,/app/static/media/no_thumbnail.15f456ec5.svg
