year,disease_category,metric_type,value,level,is_aggregate
1993,Neoplasms,rate_per_10000,9.232792753701794,1,False
1993,Nervous system diseases,rate_per_10000,172.66095351738352,1,False
1993,Perinatal period conditions,rate_per_10000,502.86912002199085,1,False
1993,"Pregnancy, childbirth and puerperium",rate_per_10000,76.39985361007999,1,False
1993,Respiratory system diseases,rate_per_10000,1122.7992623528773,1,False
1993,Skin and subcutaneous tissue diseases,rate_per_10000,91.89266149590497,1,False
1994,All diseases,absolute_cases,1576378,0,True
1994,Blood and blood-forming organ diseases and immune disorders,absolute_cases,17999,1,False
1994,Circulatory system diseases,absolute_cases,71432,1,False
1994,Clinical and laboratory abnormalities,absolute_cases,13963,1,False
1994,Congenital anomalies,absolute_cases,1860,1,False
1994,Digestive system diseases,absolute_cases,92586,1,False
1994,Ear and mastoid process diseases,absolute_cases,...,1,False
1994,"Endocrine system diseases, nutritional and metabolic disorders",absolute_cases,27731,1,False
1994,Eye and adnexa diseases,absolute_cases,...,1,False
1994,Genitourinary system diseases,absolute_cases,51056,1,False
1994,Infectious and parasitic diseases,absolute_cases,152993,1,False
1994,"Injuries, poisoning and external causes",absolute_cases,210813,1,False
1994,Mental and behavioral disorders,absolute_cases,10619,1,False
1994,Musculoskeletal system and connective tissue diseases,absolute_cases,14810,1,False
1994,Neoplasms,absolute_cases,7363,1,False
1994,Nervous system diseases,absolute_cases,128542,1,False
1994,Perinatal period conditions,absolute_cases,8882,1,False
1994,"Pregnancy, childbirth and puerperium",absolute_cases,16516,1,False
1994,Respiratory system diseases,absolute_cases,681681,1,False
1994,Skin and subcutaneous tissue diseases,absolute_cases,67532,1,False
1994,All diseases,rate_per_10000,2108.415589974052,0,True
1994,Blood and blood-forming organ diseases and immune disorders,rate_per_10000,24.073776850440037,1,False
1994,Circulatory system diseases,rate_per_10000,95.54075381858064,1,False
1994,Clinical and laboratory abnormalities,rate_per_10000,18.675601209105743,1,False
1994,Congenital anomalies,rate_per_10000,2.48776181686863,1,False
1994,Digestive system diseases,rate_per_10000,123.83436321322527,1,False
1994,Ear and mastoid process diseases,rate_per_10000,...,1,False
1994,"Endocrine system diseases, nutritional and metabolic disorders",rate_per_10000,37.090388679346226,1,False
1994,Eye and adnexa diseases,rate_per_10000,...,1,False
1994,Genitourinary system diseases,rate_per_10000,68.28772436669074,1,False
1994,Infectious and parasitic diseases,rate_per_10000,204.62910948827007,1,False
1994,"Injuries, poisoning and external causes",rate_per_10000,281.96372682770243,1,False
1994,Mental and behavioral disorders,rate_per_10000,14.20297996415483,1,False
1994,Musculoskeletal system and connective tissue diseases,rate_per_10000,19.80846909022818,1,False
1994,Neoplasms,rate_per_10000,9.848059278281573,1,False
1994,Nervous system diseases,rate_per_10000,171.92574164727282,1,False
1994,Perinatal period conditions,rate_per_10000,555.9554584660837,1,False
1994,"Pregnancy, childbirth and puerperium",rate_per_10000,84.59332104077033,1,False
1994,Respiratory system diseases,rate_per_10000,911.7526683251745,1,False
1994,Skin and subcutaneous tissue diseases,rate_per_10000,90.32447904127544,1,False
1995,All diseases,absolute_cases,1601014,0,True
1995,Blood and blood-forming organ diseases and immune disorders,absolute_cases,19062,1,False
1995,Circulatory system diseases,absolute_cases,73448,1,False
1995,Clinical and laboratory abnormalities,absolute_cases,13859,1,False
1995,Congenital anomalies,absolute_cases,2080,1,False
1995,Digestive system diseases,absolute_cases,92548,1,False
1995,Ear and mastoid process diseases,absolute_cases,...,1,False
1995,"Endocrine system diseases, nutritional and metabolic disorders",absolute_cases,26544,1,False
1995,Eye and adnexa diseases,absolute_cases,...,1,False
1995,Genitourinary system diseases,absolute_cases,49215,1,False
1995,Infectious and parasitic diseases,absolute_cases,146156,1,False
1995,"Injuries, poisoning and external causes",absolute_cases,187198,1,False
1995,Mental and behavioral disorders,absolute_cases,8572,1,False
1995,Musculoskeletal system and connective tissue diseases,absolute_cases,16541,1,False
1995,Neoplasms,absolute_cases,6240,1,False
1995,Nervous system diseases,absolute_cases,110577,1,False
1995,Perinatal period conditions,absolute_cases,9220,1,False
1995,"Pregnancy, childbirth and puerperium",absolute_cases,14191,1,False
1995,Respiratory system diseases,absolute_cases,753154,1,False
1995,Skin and subcutaneous tissue diseases,absolute_cases,72409,1,False
1995,All diseases,rate_per_10000,2115.532710527359,0,True
1995,Blood and blood-forming organ diseases and immune disorders,rate_per_10000,25.187964957253662,1,False
1995,Circulatory system diseases,rate_per_10000,97.0520223575893,1,False
1995,Clinical and laboratory abnormalities,rate_per_10000,18.312874113030034,1,False
1995,Congenital anomalies,rate_per_10000,2.7484506930588406,1,False
1995,Digestive system diseases,rate_per_10000,122.29019939481229,1,False
1995,Ear and mastoid process diseases,rate_per_10000,...,1,False
1995,"Endocrine system diseases, nutritional and metabolic disorders",rate_per_10000,35.074459229112435,1,False
1995,Eye and adnexa diseases,rate_per_10000,...,1,False
1995,Genitourinary system diseases,rate_per_10000,65.03125041292829,1,False
1995,Infectious and parasitic diseases,rate_per_10000,193.1262305263019,1,False
1995,"Injuries, poisoning and external causes",rate_per_10000,247.35791963424467,1,False
1995,Mental and behavioral disorders,rate_per_10000,11.326788144663647,1,False
1995,Musculoskeletal system and connective tissue diseases,rate_per_10000,21.85678986244533,1,False
1995,Neoplasms,rate_per_10000,8.245352079176522,1,False
1995,Nervous system diseases,rate_per_10000,146.1131885992151,1,False
1995,Perinatal period conditions,rate_per_10000,643.3381013850609,1,False
1995,"Pregnancy, childbirth and puerperium",rate_per_10000,71.54524829846231,1,False
1995,Respiratory system diseases,rate_per_10000,995.1954967692491,1,False
1995,Skin and subcutaneous tissue diseases,rate_per_10000,95.67911838158537,1,False
1996,All diseases,absolute_cases,1526340,0,True
1996,Blood and blood-forming organ diseases and immune disorders,absolute_cases,19120,1,False
1996,Circulatory system diseases,absolute_cases,75599,1,False
1996,Clinical and laboratory abnormalities,absolute_cases,13511,1,False
1996,Congenital anomalies,absolute_cases,1933,1,False
1996,Digestive system diseases,absolute_cases,101747,1,False
1996,Ear and mastoid process diseases,absolute_cases,...,1,False
1996,"Endocrine system diseases, nutritional and metabolic disorders",absolute_cases,25627,1,False
1996,Eye and adnexa diseases,absolute_cases,...,1,False
1996,Genitourinary system diseases,absolute_cases,43826,1,False
1996,Infectious and parasitic diseases,absolute_cases,162667,1,False
1996,"Injuries, poisoning and external causes",absolute_cases,172069,1,False
1996,Mental and behavioral disorders,absolute_cases,10018,1,False
1996,Musculoskeletal system and connective tissue diseases,absolute_cases,16800,1,False
1996,Neoplasms,absolute_cases,6038,1,False
1996,Nervous system diseases,absolute_cases,99670,1,False
1996,Perinatal period conditions,absolute_cases,7020,1,False
1996,"Pregnancy, childbirth and puerperium",absolute_cases,12566,1,False
1996,Respiratory system diseases,absolute_cases,696969,1,False
1996,Skin and subcutaneous tissue diseases,absolute_cases,61160,1,False
1996,All diseases,rate_per_10000,1997.043045924375,0,True
1996,Blood and blood-forming organ diseases and immune disorders,rate_per_10000,25.016354834489075,1,False
1996,Circulatory system diseases,rate_per_10000,98.9127306031663,1,False
1996,Clinical and laboratory abnormalities,rate_per_10000,17.677613502551356,1,False
1996,Congenital anomalies,rate_per_10000,2.529111605390553,1,False
1996,Digestive system diseases,rate_per_10000,133.12442758079288,1,False
1996,Ear and mastoid process diseases,rate_per_10000,...,1,False
1996,"Endocrine system diseases, nutritional and metabolic disorders",rate_per_10000,33.530027476121944,1,False
1996,Eye and adnexa diseases,rate_per_10000,...,1,False
1996,Genitourinary system diseases,rate_per_10000,57.341358105455974,1,False
1996,Infectious and parasitic diseases,rate_per_10000,212.83134894674868,1,False
1996,"Injuries, poisoning and external causes",rate_per_10000,225.1328012560513,1,False
1996,Mental and behavioral disorders,rate_per_10000,13.107418552924244,1,False
1996,Musculoskeletal system and connective tissue diseases,rate_per_10000,21.98089755331676,1,False
1996,Neoplasms,rate_per_10000,7.900039251602773,1,False
1996,Nervous system diseases,rate_per_10000,130.40690828208818,1,False
1996,Perinatal period conditions,rate_per_10000,543.1460691544097,1,False
1996,"Pregnancy, childbirth and puerperium",rate_per_10000,62.346812205408085,1,False
1996,Respiratory system diseases,rate_per_10000,911.9050111212874,1,False
1996,Skin and subcutaneous tissue diseases,rate_per_10000,80.02093418814601,1,False
1997,All diseases,absolute_cases,1428171,0,True
1997,Blood and blood-forming organ diseases and immune disorders,absolute_cases,19977,1,False
1997,Circulatory system diseases,absolute_cases,75720,1,False
1997,Clinical and laboratory abnormalities,absolute_cases,16081,1,False
1997,Congenital anomalies,absolute_cases,1934,1,False
1997,Digestive system diseases,absolute_cases,102283,1,False
1997,Ear and mastoid process diseases,absolute_cases,...,1,False
1997,"Endocrine system diseases, nutritional and metabolic disorders",absolute_cases,27950,1,False
1997,Eye and adnexa diseases,absolute_cases,...,1,False
1997,Genitourinary system diseases,absolute_cases,46230,1,False
1997,Infectious and parasitic diseases,absolute_cases,155275,1,False
1997,"Injuries, poisoning and external causes",absolute_cases,161968,1,False
1997,Mental and behavioral disorders,absolute_cases,10688,1,False
1997,Musculoskeletal system and connective tissue diseases,absolute_cases,14764,1,False
1997,Neoplasms,absolute_cases,5678,1,False
1997,Nervous system diseases,absolute_cases,98397,1,False
1997,Perinatal period conditions,absolute_cases,7285,1,False
1997,"Pregnancy, childbirth and puerperium",absolute_cases,13944,1,False
1997,Respiratory system diseases,absolute_cases,604632,1,False
1997,Skin and subcutaneous tissue diseases,absolute_cases,65365,1,False
1997,All diseases,rate_per_10000,1850.3699001075365,0,True
1997,Blood and blood-forming organ diseases and immune disorders,rate_per_10000,25.882642550820776,1,False
1997,Circulatory system diseases,rate_per_10000,98.10450487801718,1,False
1997,Clinical and laboratory abnormalities,rate_per_10000,20.834898876695647,1,False
1997,Congenital anomalies,rate_per_10000,2.5057331277612946,1,False
1997,Digestive system diseases,rate_per_10000,132.520114532993,1,False
1997,Ear and mastoid process diseases,rate_per_10000,...,1,False
1997,"Endocrine system diseases, nutritional and metabolic disorders",rate_per_10000,36.21263749789461,1,False
1997,Eye and adnexa diseases,rate_per_10000,...,1,False
1997,Genitourinary system diseases,rate_per_10000,59.89660935698276,1,False
1997,Infectious and parasitic diseases,rate_per_10000,201.17772048248966,1,False
1997,"Injuries, poisoning and external causes",rate_per_10000,209.84931915059016,1,False
1997,Mental and behavioral disorders,rate_per_10000,13.847608929427466,1,False
1997,Musculoskeletal system and connective tissue diseases,rate_per_10000,19.128564580283225,1,False
1997,Neoplasms,rate_per_10000,7.356542243758341,1,False
1997,Nervous system diseases,rate_per_10000,127.48532707979737,1,False
1997,Perinatal period conditions,rate_per_10000,551.6766122436616,1,False
1997,"Pregnancy, childbirth and puerperium",rate_per_10000,68.059351815697,1,False
1997,Respiratory system diseases,rate_per_10000,783.3745773032921,1,False
1997,Skin and subcutaneous tissue diseases,rate_per_10000,84.68833810554138,1,False
1998,All diseases,absolute_cases,1393035,0,True
1998,Blood and blood-forming organ diseases and immune disorders,absolute_cases,21088,1,False
1998,Circulatory system diseases,absolute_cases,78308,1,False
1998,Clinical and laboratory abnormalities,absolute_cases,17767,1,False
1998,Congenital anomalies,absolute_cases,2052,1,False
1998,Digestive system diseases,absolute_cases,75839,1,False
1998,Ear and mastoid process diseases,absolute_cases,...,1,False
1998,"Endocrine system diseases, nutritional and metabolic disorders",absolute_cases,25925,1,False
1998,Eye and adnexa diseases,absolute_cases,...,1,False
1998,Genitourinary system diseases,absolute_cases,47040,1,False
1998,Infectious and parasitic diseases,absolute_cases,140627,1,False
1998,"Injuries, poisoning and external causes",absolute_cases,149444,1,False
1998,Mental and behavioral disorders,absolute_cases,12463,1,False
1998,Musculoskeletal system and connective tissue diseases,absolute_cases,13676,1,False
1998,Neoplasms,absolute_cases,6073,1,False
1998,Nervous system diseases,absolute_cases,93481,1,False
1998,Perinatal period conditions,absolute_cases,7019,1,False
1998,"Pregnancy, childbirth and puerperium",absolute_cases,12427,1,False
1998,Respiratory system diseases,absolute_cases,632770,1,False
1998,Skin and subcutaneous tissue diseases,absolute_cases,57036,1,False
1998,All diseases,rate_per_10000,1787.5465161041961,0,True
1998,Blood and blood-forming organ diseases and immune disorders,rate_per_10000,27.06018221480816,1,False
1998,Circulatory system diseases,rate_per_10000,100.48505068651353,1,False
1998,Clinical and laboratory abnormalities,rate_per_10000,22.79866546901065,1,False
1998,Congenital anomalies,rate_per_10000,2.633132298216348,1,False
1998,Digestive system diseases,rate_per_10000,97.31682278968306,1,False
1998,Ear and mastoid process diseases,rate_per_10000,...,1,False
1998,"Endocrine system diseases, nutritional and metabolic disorders",rate_per_10000,33.267034518157324,1,False
1998,Eye and adnexa diseases,rate_per_10000,...,1,False
1998,Genitourinary system diseases,rate_per_10000,60.361863210573595,1,False
1998,Infectious and parasitic diseases,rate_per_10000,180.4529706146542,1,False
1998,"Injuries, poisoning and external causes",rate_per_10000,191.76697035801362,1,False
1998,Mental and behavioral disorders,rate_per_10000,15.992557423328629,1,False
1998,Musculoskeletal system and connective tissue diseases,rate_per_10000,17.54908250994482,1,False
1998,Neoplasms,rate_per_10000,7.792891056075965,1,False
1998,Nervous system diseases,rate_per_10000,119.9550878993969,1,False
1998,Perinatal period conditions,rate_per_10000,566.0666473112036,1,False
1998,"Pregnancy, childbirth and puerperium",rate_per_10000,59.967186218211644,1,False
1998,Respiratory system diseases,rate_per_10000,811.9722828179135,1,False
1998,Skin and subcutaneous tissue diseases,rate_per_10000,73.18875914282049,1,False
1999,All diseases,absolute_cases,1361385,0,True
1999,Blood and blood-forming organ diseases and immune disorders,absolute_cases,22841,1,False
1999,Circulatory system diseases,absolute_cases,97765,1,False
1999,Clinical and laboratory abnormalities,absolute_cases,17609,1,False
1999,Congenital anomalies,absolute_cases,2234,1,False
1999,Digestive system diseases,absolute_cases,84014,1,False
1999,Ear and mastoid process diseases,absolute_cases,...,1,False
1999,"Endocrine system diseases, nutritional and metabolic disorders",absolute_cases,27611,1,False
1999,Eye and adnexa diseases,absolute_cases,...,1,False
1999,Genitourinary system diseases,absolute_cases,49501,1,False
1999,Infectious and parasitic diseases,absolute_cases,159701,1,False
1999,"Injuries, poisoning and external causes",absolute_cases,134087,1,False
1999,Mental and behavioral disorders,absolute_cases,14634,1,False
1999,Musculoskeletal system and connective tissue diseases,absolute_cases,14337,1,False
1999,Neoplasms,absolute_cases,7999,1,False
